=================================  ==============================================================================================================================================================================================================================================================================================================================================================
Software                           Version(s)
=================================  ==============================================================================================================================================================================================================================================================================================================================================================
*3daprecon* ``restricted``         0.0.1, 1.0
*3depict* ``restricted``           0.0.15
3dslicer                           4.6.0, 4.8.1
**A**                              .. _A:
*abaqus* ``restricted``            6.14
abinit                             8.8.3
abricate                           0.8.13
abyss                              2.0.2
adapterremoval                     2.3.1
adxv                               1.9.12
afni                               16.2.16, 17.0.11
align2rawsignal                    2.0
*amber* ``restricted``             18-multi-gpus, 18-parallel, 18-serial, 18-single-gpu
*amira* ``restricted``             6.3.0, 6.4.0, 6.5.0
anaconda                           2018.12-Python3.7-gcc6, 2019.03-Python3.7-gcc5, 4.3.1-Python3.5, 4.3.1-Python3.5-gcc5, 5.0.1-Python2.7-gcc5, 5.0.1-Python3.5-gcc5, 5.0.1-Python3.6-gcc5, 5.1.0-Python3.6-gcc5
*analyze* ``restricted``           12.0
*ansys* ``restricted``             18.1, 19.1
ants                               1.9.v4, 2.2.0, 2.3.1
apex                               latest
apr                                1.6.5
apr-util                           1.6.1
argos                              3.0.0-beta52
ariba                              2.12.1
armadillo                          9.200-rc1
arpack                             2.1, 3.1.3-2
ascp                               3.5.4
atlas                              3.10.2-gcc4, 3.10.2-gcc5
*atomprobedevcode* ``restricted``  1.0.0(default)
attr                               2.4.46-12
autodock_vina                      1.1.2
*avizo* ``restricted``             9.0.1, 9.3.0, 9.3.0.1, 9.4.0, 9.5.0, 9.7
axel                               2.12
**B**                              .. _B:
bamtools                           2.4.1
barrnap                            0.9
bart                               0.4.04, 0.4.04-cuda9.0
bayenv                             2.0
bayesass                           1.3, 3.04
bayescan                           2.1
bbcp                               17.12
bcbtoolkit                         4.0.0
bcftools                           1.6, 1.7, 1.8
bcl2fastq                          2.19.1
beagle                             2.1.2, 3.1.2
beast1                             1.10.0, 1.8.4
beast2                             2.4.7, 2.4.8, 2.5.0
bedtools                           2.26.0, 2.26.0-gcc5, 2.27.1-gcc5
bids-validator                     2019.01
bidscoin                           2.2
bigdatascript                      v0.99999e
bigwigtowig                        377-0
bilm-tf                            1.0
biscuit                            0.2.2, 0.3.8.20180515
bismark                            v0.19.1
bison                              2.7.1
blas                               3.8.0-gcc5, 3.8.0-gcc5-pic
blast                              2.2.30, 2.3.0, 2.7.1(default)
bolt-lmm                           2.3.2
boost                              1.46.0-gcc5, 1.46.1-gcc5, 1.52.0-gcc5, 1.58.0, 1.58.0-gcc5, 1.62.0, 1.62.0-gcc4, 1.67.0-gcc5
bowtie                             1.1.2
bowtie2                            2.2.9, 2.3.5
brain_age                          v1.0_18Jan2018
breseq                             0.29.0, 0.33.2
bsoft                              1.9.2, 2.0(default)
buster                             20170508
bwa                                0.7.12, 0.7.17-gcc5
bzip2                              1.0.6
**C**                              .. _C:
caffe                              1.0.0, 1.0.0-protbuf32, caffe-matlab, caffe-tsn, deepvistool, latest(default), rc4
caffe2                             0.8.1
caffe_enet                         1.0
caffe_unet                         1.0, 2.0
canu                               1.7.1
caret                              5.65
*caw* ``restricted``               0.2.4(default)
cblas                              20032302-gcc5
ccp-em                             1.3.0
ccp4                               7.0, 7.0.072, ccp4i, ccp4i2, ccp4mg, coot
cdhit                              4.8.1
cellprofiler                       2.2.0, 3.1.5
cellprofileranalyst                2.2.0
cellranger                         2.0.1, 3.0.2
centrifuge                         1.0.4-beta
chimera                            1.10.2, 1.11, 1.13
chimerax                           0.6, 0.8
chrome                             68, 69, 75, default
circos                             0.69-6
cistem                             1.0.0-beta
clairvoyante                       1.02
clamms                             1.1
clonalframeml                      1.11
cloudstor                          2.3.1-1.1, 2.4.1, 2.4.2
cmake                              2.8.12.2, 2.8.12.2-gcc5, 3.10.2-gcc4, 3.10.2-gcc4-system, 3.10.2-gcc5, 3.15.1-gcc4-system, 3.15.1-gcc5, 3.5.2, 3.5.2-gcc4, 3.5.2-gcc5
cmkl                               9.1.023
cnvkit                             0.9.5
*comsol* ``restricted``            5.2a, 5.4
connectome                         1.2.3
convert3d                          1.0.0
coventormp                         1.002
cp2k                               5.1.0, 6.1.0
*cplex* ``restricted``             12.6, 12.6.3, 12.7.1, 12.8.0
cpmd                               3.17.1, 4.3
crisprcasfinder                    1.05
crispresso                         1.0.13-gcc5
crossmap                           0.3.5
cryo-em-processing-tool            0.1
cryolo                             1.0.0, 1.1.3, 1.3.1, 1.4.0
cryosparc                          beta, cryosparc-cluster, v2
*crystallography* ``restricted``   0.0.3(default)
cst                                2017
ctffind                            4.0.17, 4.1.10, 4.1.13, 4.1.3, 4.1.4, 4.1.8
ctftilt                            latest
cuda                               10.0, 4.1, 4.1.bajk, 6.0, 7.0, 7.5, 8.0, 8.0.61, 8.0-DL, 9.0, 9.1
cudadeconv                         1.0
cudalibs8to9                       0.1
cudnn                              5.1, 5.1-DL, 7.1.2-cuda8, 7.1.3-cuda9, 7.3.0-cuda9
cufflinks                          2.2.1
cunit                              2.1.3
cutadapt                           0.16
cytoscape                          3.4.0
**D**                              .. _D:
daris-utils                        1.0
darknet                            alexey, darknet_yolo_v3, latest
dcm2niix                           latest
dcmtk                              3.6.3
deep-complex-networks              2017
deepmedic                          0.6.1, 0.7.0
deeptools                          3.1.2, 3.1.3
deepvariant                        0.8-cpu, 0.8-gpu
dense3dcrf                         20160527
detectron                          20180322
dftbplus                           18.2
dials                              1.12.1, 1.5.1
diamond                            0.9.22
dicomnifti                         2.32.1
diyabc                             2.1.0
dmtcp                              2.5.2
dominate                           2.3.5
dos2unix                           7.4.0
dragondisk                         1.0.5
drishti                            2.6.3, 2.6.4
drmaa                              1.0.7, 1.1.0
dti-tk                             2.3.1
dtk                                0.6.4.1
dynamo                             1.1.178
dynet                              2.1-cpu, 2.1-gpu
**E**                              .. _E:
ea-utils                           1.1.2, 1.1.2-gcc5
eclipse                            4.7.3a, 4.8
*effoff* ``restricted``            0.2.1(default)
eigen                              2.0.17, 3.2.9, 3.3.0, 3.3.7
eigensoft                          7.2.1
eiger2cbf                          1.0
elf                                1.0
eman                               2.12, 2.2, 2.22, 2.3
emap-galaxy-shortcut               1.0.0(default)
emap-mytardis-shortcut             1.0.0(default)
emap-wiki-shortcut                 0.0.1(default)
emapaccess                         1.0(default)
emboss                             6.6.0
emspring                           spring_v0-84-1470, spring_v0-84-1470_mlx
epacts                             3.3.2
exciting                           nitrogen
exploredti                         4.8.6
**F**                              .. _F:
fastani                            1.1
fastml                             3.1, 3.11
fastp                              0.20.0
fastqc                             0.11.7
fastQValidator                     0.1.1a
fastspar                           0.0.7
fasttree                           2.1.10
fastx-toolkit                      0.0.13
fcsalyzer                          0.9.12
fdtd                               8.21.1933
feedback                           1.0.1(default)
ffmpeg                             3.4.2
fftw                               3.3.4-gcc, 3.3.5-gcc, 3.3.5-gcc5
fgbio                              0.9.0
figtree                            1.4.3
fiji                               20160808, 20170223, 20170530, current, MMI-MHTP
fix                                1.064, 1.068
flash                              1.2.11-gcc5
flashpca                           2.0
flexbar                            3.4.0
flye                               2.3.5
fmriprep                           1.0.15, 1.1.1, 1.2.5, 1.3.0_post2, 1.4.0
foma                               0.9.18
fooof                              0.1.3
*fouriertransform* ``restricted``  0.2.3(default)
freebayes                          0.9.9
freesurfer                         20160922, 5.3, 6.0, 6.0-patch, devel-20171013, devel-20180612, devel-20190128
*fsl* ``restricted``               5.0.11, 5.0.9, 6.0.0, 6.0.1
fsleyes                            0.22.4, 0.23.0, 0.24.3
ftgl                               2.1
fxtract                            2.3
**G**                              .. _G:
gamess                             16srs1, 16srs1-v2, 2018r3
gap                                4.8.10
gatan                              free, uwa
gatk                               3.4, 3.7, 4.0.1.1, 4.0.11.0, 4.1.2.0
gatktool                           0.0.1
*gauss* ``restricted``             11.0, 9.0
*gaussian* ``restricted``          g16a03
gautomatch                         0.53, 0.56
gcat                               e48bf8b
gcc                                4.9.3, 5.4.0, 6.1.0, 8.1.0
gcta                               1.92.2beta
gctf                               0.50, 0.66, 1.06, 1.06_cuda8, 1.08_cuda8, 1.18, 1.18_b2, 1.18_b2_cuda9, 1.18_cuda8, 1.18_cuda91
gd-devel                           2.0.35
gdal                               2.2.4, 2.3.1
gdb                                8.2.1
gdcm                               2.6.6-gcc4, 2.6.6-gcc5
geant4                             10.02.p03, 10.03.p01
gem                                3.3
gemini                             0.30.1
genotypeharmonizer                 1.4.20
